product_name;current_price;normal_price;product_url;store;extraction_date
Celular SAMSUNG Galaxy A36 256GB 5G Negro;1094900.0;1999900.0;https://www.alkosto.com/celular-samsung-galaxy-a36-256gb-5g-negro/p/8806097113843?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTM4NDMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular HONOR X8c 512GB Purpura;999900.0;2299000.0;https://www.alkosto.com/celular-honor-x8c-512gb-purpura/p/6936520862344?algEvent=eyJvYmplY3RJZCI6IjY5MzY1MjA4NjIzNDQiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular HONOR X8c 512GB Verde;999900.0;2299000.0;https://www.alkosto.com/celular-honor-x8c-512gb-verde/p/6936520862337?algEvent=eyJvYmplY3RJZCI6IjY5MzY1MjA4NjIzMzciLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A36 256GB 5G Gris;1094900.0;1999900.0;https://www.alkosto.com/celular-samsung-galaxy-a36-256gb-5g-gris/p/8806097113874?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTM4NzQiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI Note 14 Pro 256GB Morado + Audifonos;1079900.0;2199900.0;https://www.alkosto.com/celular-redmi-note-14-pro-256gb-morado-audifonos/p/6932554406578?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDY1NzgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI Note 14 256GB Negro + Audifonos;799900.0;1499900.0;https://www.alkosto.com/celular-redmi-note-14-256gb-negro-audifonos/p/6932554408312?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDgzMTIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A36 256GB 5G Morado;1094900.0;1999900.0;https://www.alkosto.com/celular-samsung-galaxy-a36-256gb-5g-morado/p/8806097113928?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTM5MjgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
iPhone 13 128GB Blanco Estrella;2579010.0;4165010.0;https://www.alkosto.com/iphone13-128gb-blanco-estrella/p/194252707432?algEvent=eyJvYmplY3RJZCI6IjE5NDI1MjcwNzQzMiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular SAMSUNG Galaxy A36 256GB 5G Verde;1094900.0;1999900.0;https://www.alkosto.com/celular-samsung-galaxy-a36-256gb-5g-verde/p/8806097113966?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTM5NjYiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI Note 14 Pro 256GB Negro + Audifonos;1079900.0;2199900.0;https://www.alkosto.com/celular-redmi-note-14-pro-256gb-negro-audifonos/p/6932554406912?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDY5MTIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A26 256GB 5G Negro;869900.0;1349900.0;https://www.alkosto.com/celular-samsung-galaxy-a26-256gb-5g-negro/p/8806097113355?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTMzNTUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
iPhone 13 128GB Azul Medianoche;2579010.0;4165010.0;https://www.alkosto.com/iphone13-128gb-azul-medianoche/p/194252707166?algEvent=eyJvYmplY3RJZCI6IjE5NDI1MjcwNzE2NiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
iPhone 16e 128GB Negro;2999010.0;3489010.0;https://www.alkosto.com/iphone-16e-128gb-negro/p/195950051902?algEvent=eyJvYmplY3RJZCI6IjE5NTk1MDA1MTkwMiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular OPPO A5 256GB 5G Verde;899900.0;1999900.0;https://www.alkosto.com/celular-oppo-a5-256gb-5g-verde/p/6932169371292?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNzEyOTIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular MOTOROLA Edge 50 Fusion 256GB Verde;899900.0;2299900.0;https://www.alkosto.com/celular-motorola-edge-50-fusion-256gb-verde/p/840023261879?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI2MTg3OSIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular SAMSUNG Galaxy A26 256GB 5G Verde Claro;869900.0;1349900.0;https://www.alkosto.com/celular-samsung-galaxy-a26-256gb-5g-verde-claro/p/8806097113362?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTMzNjIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
iPhone 16e 128GB Blanco;2999010.0;3489010.0;https://www.alkosto.com/iphone-16e-128gb-blanco/p/195950051926?algEvent=eyJvYmplY3RJZCI6IjE5NTk1MDA1MTkyNiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular OPPO A5 256GB 5G Blanco;899900.0;1999900.0;https://www.alkosto.com/celular-oppo-a5-256gb-5g-blanco/p/6932169371308?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNzEzMDgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI Note 14 256GB Azul + Audifonos;799900.0;1499900.0;https://www.alkosto.com/celular-redmi-note-14-256gb-azul-audifonos/p/6932554408176?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDgxNzYiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI 13 256GB Negro;599900.0;1499900.0;https://www.alkosto.com/celular-redmi-13-256gb-negro/p/6941812776872?algEvent=eyJvYmplY3RJZCI6IjY5NDE4MTI3NzY4NzIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular MOTOROLA Edge 50 Fusion 256GB Azul;899900.0;2299900.0;https://www.alkosto.com/celular-motorola-edge-50-fusion-256gb-azul/p/840023261893?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI2MTg5MyIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular REDMI Note 14 256GB Verde + Audifonos;799900.0;1499900.0;https://www.alkosto.com/celular-redmi-note-14-256gb-verde-audifonos/p/6932554408565?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDg1NjUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular OPPO A5 Pro 256GB 5G café;1499900.0;2399900.0;https://www.alkosto.com/celular-oppo-a5-pro-256gb-5g-cafe/p/6932169363938?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNjM5MzgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular MOTOROLA Edge 50 Fusion 256GB Rosado;899900.0;2299900.0;https://www.alkosto.com/celular-motorola-edge-50-fusion-256gb-rosado/p/840023261886?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI2MTg4NiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular REDMI Note 14 Pro 256GB Azul Audifonos;1079900.0;2199900.0;https://www.alkosto.com/celular-redmi-note-14-pro-256gb-azul-audifonos/p/6932554406813?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDY4MTMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A16 256GB LTE Negro;679900.0;979900.0;https://www.alkosto.com/celular-samsung-galaxy-a16-256gb-lte-negro/p/8806095819068?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU4MTkwNjgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A56 256GB 5G Negro;1749900.0;2399900.0;https://www.alkosto.com/celular-samsung-galaxy-a56-256gb-5g-negro/p/8806097117117?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTcxMTciLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A56 256GB 5G Rosado;1749900.0;2399900.0;https://www.alkosto.com/celular-samsung-galaxy-a56-256gb-5g-rosado/p/8806097117223?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTcyMjMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular REDMI 13 256GB Azul;599900.0;1499900.0;https://www.alkosto.com/celular-redmi-13-256gb-azul/p/6941812780695?algEvent=eyJvYmplY3RJZCI6IjY5NDE4MTI3ODA2OTUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular OPPO A5 Pro 256GB 5G rosa;1499900.0;2399900.0;https://www.alkosto.com/celular-oppo-a5-pro-256gb-5g-rosa/p/6932169363945?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNjM5NDUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy S24 256GB Negro;2499990.0;4799990.0;https://www.alkosto.com/celular-samsung-galaxy-s24-256gb-negro/p/8806095301501?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTUzMDE1MDEiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
iPhone 15 128 GB 5G Negro;4059010.0;4599010.0;https://www.alkosto.com/iphone-15-128gb-5g-negro/p/195949035913?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTAzNTkxMyIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiOTY1NDg4NGRhMTNiY2Y5YWM0ZWI1ZWZjOTczN2YwNjgifQ==;alkosto;2025-08-14
Celular ZTE Nubia Neo 3 GT 5G Gris;899900.0;1499900.0;https://www.alkosto.com/celular-zte-nubia-neo-3-gt-5g-gris/p/6902176141935?algEvent=eyJvYmplY3RJZCI6IjY5MDIxNzYxNDE5MzUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular MOTOROLA G15 256GB Gris;479900.0;999900.0;https://www.alkosto.com/celular-motorola-g15-256gb-gris/p/840023280283?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI4MDI4MyIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiOTY1NDg4NGRhMTNiY2Y5YWM0ZWI1ZWZjOTczN2YwNjgifQ==;alkosto;2025-08-14
Celular REALME 14 256GB 5G Plata;1094900.0;1999900.0;https://www.alkosto.com/celular-realme-14-256gb-5g-plata/p/6941764458116?algEvent=eyJvYmplY3RJZCI6IjY5NDE3NjQ0NTgxMTYiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
iPhone 15 128 GB 5G Rosa;4059010.0;4599010.0;https://www.alkosto.com/iphone-15-128gb-5g-rosa/p/195949036095?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTAzNjA5NSIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiOTY1NDg4NGRhMTNiY2Y5YWM0ZWI1ZWZjOTczN2YwNjgifQ==;alkosto;2025-08-14
Celular VIVO Y39 256GB 5G Violeta;1094900.0;1999900.0;https://www.alkosto.com/celular-vivo-y39-256gb-5g-violeta/p/6935117898995?algEvent=eyJvYmplY3RJZCI6IjY5MzUxMTc4OTg5OTUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy S24FE 512GB 5G Negro;2999990.0;4549990.0;https://www.alkosto.com/celular-samsung-galaxy-s24fe-512gb-5g-negro/p/8806095745961?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU3NDU5NjEiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A26 256GB 5G Blanco;869900.0;1349900.0;https://www.alkosto.com/celular-samsung-galaxy-a26-256gb-5g-blanco/p/8806097113331?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTMzMzEiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
iPhone 16 Pro Max 256 GB Titanio Del Desierto;6969010.0;;https://www.alkosto.com/iphone-16-pro-max-256gb-titanio-del-desierto/p/195949806032?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTgwNjAzMiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiOTY1NDg4NGRhMTNiY2Y5YWM0ZWI1ZWZjOTczN2YwNjgifQ==;alkosto;2025-08-14
Celular OPPO Reno 13F 512GB 5G Gris + Reloj;2499900.0;3599900.0;https://www.alkosto.com/celular-oppo-reno-13f-512gb-5g-gris-reloj/p/7708334730558?algEvent=eyJvYmplY3RJZCI6Ijc3MDgzMzQ3MzA1NTgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular MOTOROLA G55 256GB Negro;749900.0;1399900.0;https://www.alkosto.com/celular-motorola-g55-256gb-negro/p/840023287305?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI4NzMwNSIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiOTY1NDg4NGRhMTNiY2Y5YWM0ZWI1ZWZjOTczN2YwNjgifQ==;alkosto;2025-08-14
Celular REALME 14 256GB 5G Titanio;1094900.0;1999900.0;https://www.alkosto.com/celular-realme-14-256gb-5g-titanio/p/6941764458031?algEvent=eyJvYmplY3RJZCI6IjY5NDE3NjQ0NTgwMzEiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A16 256GB LTE Gris;679900.0;979900.0;https://www.alkosto.com/celular-samsung-galaxy-a16-256gb-lte-gris/p/8806095818054?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU4MTgwNTQiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular REDMI 13 256GB Dorado;599900.0;1499900.0;https://www.alkosto.com/celular-redmi-13-256gb-dorado/p/6941812780428?algEvent=eyJvYmplY3RJZCI6IjY5NDE4MTI3ODA0MjgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular HONOR X7c 256GB Negro;779900.0;1499900.0;https://www.alkosto.com/celular-honor-x7c-256gb-negro/p/6936520855933?algEvent=eyJvYmplY3RJZCI6IjY5MzY1MjA4NTU5MzMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular OPPO A40 256GB Café;499900.0;1599900.0;https://www.alkosto.com/celular-oppo-a40-256gb-cafe/p/6932169354202?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNTQyMDIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A16 256GB LTE Verde Claro;679900.0;979900.0;https://www.alkosto.com/celular-samsung-galaxy-a16-256gb-lte-verde-claro/p/8806095818092?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU4MTgwOTIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy S24FE 512GB 5G Gris;2999990.0;4549990.0;https://www.alkosto.com/celular-samsung-galaxy-s24fe-512gb-5g-gris/p/8806095746142?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU3NDYxNDIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
