product_name,current_price,normal_price,product_url
Celular 14T Pro 5G | 512GB | 12GB RAM,2599900.0,5499900.0,https://www.falabella.com.co/falabella-co/product/73210828/Celular-Xiaomi-14T-Pro-5G-512GB-12GB-RAM/73210830?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522search%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc1NTM2ODQ2NTcyMA%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_3FzEp1iVdHPKdjx0m43AJR0tN2SIXmQ1UVa3-sNrExUEmeyQYh6B7ieG3uxFno8-soXYKDjplWh0i3q-iPbIgm2mGF9iw-DOG2jH5upde-OYZt36e_DZsYMTLjlsybtvpn47T6D5J7OcS0reNAGLDbPc5ueoc7qq-juQtES0r0Q%253D_ark198b41d111c5f12184%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522celulares%2522%252C%2522providerName%2522%253A%2522mabaya%2522%257D%257D
Celular Redmi Note 14 Pro Ocean Blue 8G RAM 256G,869900.0,1765900.0,https://www.falabella.com.co/falabella-co/product/140757024/Celular-Xiaomi-Redmi-Note-14-Pro-Ocean-Blue-8G-RAM-256G/140757025?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522search%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc1NTM2ODQ2NTcyMA%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_nJRA_Khy-RcyMtNx7j9w2h0tN2SIXmQ1UVa3-sNrExUEmeyQYh6B7ieG3uxFno8-wdOy1IqLqry4SEuMwGLq4ObcTDOHNVphA_U_SJQfG8AgJr36qxjQHJ6PRyxvEJ2Kpn47T6D5J7OcS0reNAGLDbPc5ueoc7qq-juQtES0r0Q%253D_ark198b41d111c5f12184%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522celulares%2522%252C%2522providerName%2522%253A%2522mabaya%2522%257D%257D
Celular iPhone 15 5G | 128GB | 6GB RAM | Compatible con eSIM,3999900.0,4599900.0,https://www.falabella.com.co/falabella-co/product/prod13430667/Celular-iPhone-15-5G-128GB-6GB-RAM-Compatible-con-eSIM/72752104
Celular Edge 50 Fusion 5G | 256GB | 8GB RAM,879900.0,2299900.0,https://www.falabella.com.co/falabella-co/product/72967063/Celular-Motorola-Edge-50-Fusion-5G-256GB-8GB-RAM/72967064
Celular Galaxy A36 5G | 256 GB |8GB RAM,1094900.0,1999900.0,https://www.falabella.com.co/falabella-co/product/73268337/Celular-Samsung-Galaxy-A36-5G-256-GB-8GB-RAM/73268339
Celular Edge 50 Neo 5G | 256GB | 8GB RAM,939900.0,2499900.0,https://www.falabella.com.co/falabella-co/product/73004861/Celular-Motorola-Edge-50-Neo-5G-256GB-8GB-RAM/73335017
Celular Galaxy A26 256GB 5G - Negro,929900.0,1599900.0,https://www.falabella.com.co/falabella-co/product/142686388/Celular-Samsung-Galaxy-A26-256GB-5G-Negro/142686389?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522search%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc1NTM2ODQ2NTcyMA%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_H809YkqtErhja-qM87xHBx0tN2SIXmQ1UVa3-sNrExUEmeyQYh6B7ieG3uxFno8-3SN6ETmcyodzieYKUzSgDLqWkpaoWt7tcauMrR1rSHhROMPa1thcBsA5ND5hPhPEpn47T6D5J7OcS0reNAGLDbPc5ueoc7qq-juQtES0r0Q%253D_ark198b41d111c5f12184%2522%252C%2522slot%2522%253A7%252C%2522signal%2522%253A%2522celulares%2522%252C%2522providerName%2522%253A%2522mabaya%2522%257D%257D
Celular Redmi 15 Sandy Purple 8GB RAM 256GB ROM,749900.0,829900.0,https://www.falabella.com.co/falabella-co/product/146167411/Celular-Xiaomi-Redmi-15-Sandy-Purple-8GB-RAM-256GB-ROM/146167412?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522search%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc1NTM2ODQ2NTcyMA%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_YcHRxQBi4pydpthNaGjIL28Xa-WeuFLVsvQrTCeucKMEmeyQYh6B7ieG3uxFno8-yyRiBR-u68pvMIK9GfBspwA3H_wQ_VOtiB_rJeYt6ehO2E8ZGA1VJMWii65-6cpoNdGkaxigjp5r0LNFOhpWq7Pc5ueoc7qq-juQtES0r0Q%253D_ark198b41d111c5f12184%2522%252C%2522slot%2522%253A8%252C%2522signal%2522%253A%2522celulares%2522%252C%2522providerName%2522%253A%2522mabaya%2522%257D%257D
Celular Poco X7 Pro 5G 512Gb 12Ram 50Mp Negro,1349900.0,1997900.0,https://www.falabella.com.co/falabella-co/product/139966499/Celular-Xiaomi-Poco-X7-Pro-5G-512Gb-12Ram-50Mp-Negro/139966500
Celular Galaxy S25 5G | 256GB |12GB RAM,3899900.0,4879900.0,https://www.falabella.com.co/falabella-co/product/73315331/Celular-Samsung-Galaxy-S25-5G-256GB-12GB-RAM-/73315332
Celular S24 ULTRA 5G IA 512GB 12GB RAM - Gris,3849900.0,8000000.0,https://www.falabella.com.co/falabella-co/product/127936817/Celular-Samsung-S24-ULTRA-5G-IA-512GB-12GB-RAM-Gris/127936818
Celular Galaxy S25 Plus 5G |256GB |12GB RAM,4399900.0,5549900.0,https://www.falabella.com.co/falabella-co/product/73211154/Celular-Samsung-Galaxy-S25-Plus-5G-256GB-12GB-RAM/73211156
Celular GALAXY A05 128GB 4GB RAM PLATA,329900.0,699900.0,https://www.falabella.com.co/falabella-co/product/127745342/Celular-SAMSUNG-GALAXY-A05-128GB-4GB-RAM-PLATA/127745343
Celular S24 ULTRA 5G IA 256GB 12GB RAM Negro,3649900.0,7000000.0,https://www.falabella.com.co/falabella-co/product/127936383/Celular-Samsung-S24-ULTRA-5G-IA-256GB-12GB-RAM-Negro/127936384
Celular iPhone 13 5G |128 GB | 4GB RAM | Compatible con eSIM,2399900.0,3479900.0,https://www.falabella.com.co/falabella-co/product/prod12000048/Celular-iPhone-13-5G-128-GB-4GB-RAM-Compatible-con-eSIM/19604508
Celular S24 ULTRA 5G IA 512GB 12GB RAM Negro,3849900.0,8000000.0,https://www.falabella.com.co/falabella-co/product/127936660/Celular-Samsung-S24-ULTRA-5G-IA-512GB-12GB-RAM-Negro/127936661
Celular iPhone 16e 5G | 128GB | 8GB RAM | Compatible con eSIM,2799900.0,3599900.0,https://www.falabella.com.co/falabella-co/product/73262421/Celular-iPhone-16e-5G-128GB-8GB-RAM-Compatible-con-eSIM/73262422
"Celular Redmi 13 256GB | 8GB RAM | Cámara Posterior 108MP+2MP | Cámara Frontal 13MP | Pantalla 6.79""| MediaTek Helio G91-Ultra",569900.0,1499900.0,https://www.falabella.com.co/falabella-co/product/73210819/Celular-Xiaomi-Redmi-13-256GB-8GB-RAM-Camara-Posterior-108MP+2MP-Camara-Frontal-13MP-Pantalla-6.79-MediaTek-Helio-G91-Ultra/73210819
Celular Redmi Note 14 Pro Midnight Black 8G RAM 256G,869900.0,1765900.0,https://www.falabella.com.co/falabella-co/product/140757299/Celular-Xiaomi-Redmi-Note-14-Pro-Midnight-Black-8G-RAM-256G/140757300
Celular Galaxy A56 5G IA 256GB 12GB RAM Negro,1599900.0,2429900.0,https://www.falabella.com.co/falabella-co/product/144953213/Celular-Samsung-Galaxy-A56-5G-IA-256GB-12GB-RAM-Negro/144953214
Celular Galaxy A16 Negro 5G | 256GB |8GB RAM,799900.0,1044900.0,https://www.falabella.com.co/falabella-co/product/73315335/Celular-Samsung-Galaxy-A16-Negro-5G-256GB-8GB-RAM/73315336
Celular Redmi Note 14 Midnight Black 8 RAM 256,669900.0,1052900.0,https://www.falabella.com.co/falabella-co/product/141164643/Celular-Xiaomi-Redmi-Note-14-Midnight-Black-8-RAM-256/141164644
Celular Redmi 14C 256GB 8GB RAM Ampliable a 16GB Negro,489900.0,1000000.0,https://www.falabella.com.co/falabella-co/product/138507592/Celular-Xiaomi-Redmi-14C-256GB-8GB-RAM-Ampliable-a-16GB-Negro/138507593
Celular Galaxy A56 5G | 256GB |8GB RAM | Fit 3 Negra,1599900.0,2399900.0,https://www.falabella.com.co/falabella-co/product/73315341/Celular-Samsung-Galaxy-A56-5G-256GB-8GB-RAM-Fit-3-Negra-/73315343
Celular Redmi Note 14 Pro Ocean Blue 8G RAM 256G,869900.0,1765900.0,https://www.falabella.com.co/falabella-co/product/140757024/Celular-Xiaomi-Redmi-Note-14-Pro-Ocean-Blue-8G-RAM-256G/140757025
Celular Redmi 13 8gb/256gb Negro,519900.0,1179900.0,https://www.falabella.com.co/falabella-co/product/143932925/Celular-XIaomi-Redmi-13-8gb-256gb-Negro/143932926
Celular 15 5G | 512GB | 12GB RAM | Tablet,4799900.0,4999900.0,https://www.falabella.com.co/falabella-co/product/73283917/Celular-Xiaomi-15-5G-512GB-12GB-RAM-Tablet-/73283918
Celular A80 5G |256GB | 8GB RAM,869900.0,1999900.0,https://www.falabella.com.co/falabella-co/product/73059864/Celular-Oppo-A80-5G-256GB-8GB-RAM/73059864
Celular Galaxy A16 256GB 8GB RAM Negro,689900.0,1299900.0,https://www.falabella.com.co/falabella-co/product/141038246/Celular-Samsung-Galaxy-A16-256GB-8GB-RAM-Negro/141038247?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522search%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc1NTM2ODQ2NTcyMA%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_-1rlorajAy3UMci0RIlzIkweoSE4PBOBUonC2QZa_ssEmeyQYh6B7ieG3uxFno8-Fj4NuvIKKHaiQRxfUQe5C0BIjJnwVyKZimV2Ypj1UBCcTXocdGD-_3bnxvd22xrr6bhQmG2Zx5zEjb93s1ayy7Pc5ueoc7qq-juQtES0r0Q%253D_ark198b41d111c5f12184%2522%252C%2522slot%2522%253A29%252C%2522signal%2522%253A%2522celulares%2522%252C%2522providerName%2522%253A%2522mabaya%2522%257D%257D
Celular Galaxy A05 64GB - Silver,269900.0,399900.0,https://www.falabella.com.co/falabella-co/product/126595823/Celular-Samsung-Galaxy-A05-64GB-Silver/126595824?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522search%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc1NTM2ODQ2NTcyMA%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_dh2M-_ARV7ndPAhYBLXl0VAnFmEER3YOV-vK6AQ2d8AEmeyQYh6B7ieG3uxFno8-IsnLuVELcaXswBs70e4HBzxUNdBtGbAKqfDX1UkR7Q_45-MLSuQL2Rmb1NUP77Dn8w2YB_3iWGK48cEwPB3ANrPc5ueoc7qq-juQtES0r0Q%253D_ark198b41d111c5f12184%2522%252C%2522slot%2522%253A30%252C%2522signal%2522%253A%2522celulares%2522%252C%2522providerName%2522%253A%2522mabaya%2522%257D%257D
Celular Galaxy A56 5G IA 256GB 12GB RAM Rosado,1629900.0,2000000.0,https://www.falabella.com.co/falabella-co/product/142238633/Celular-Samsung-Galaxy-A56-5G-IA-256GB-12GB-RAM-Rosado/142238635
Celular G75 5G | 256GB | 8GB RAM,849900.0,1599900.0,https://www.falabella.com.co/falabella-co/product/73193874/Celular-Motorola-G75-5G-256GB-8GB-RAM/73193874
Celular edge 60 fusion 5G | 256GB | 8GB RAM,1094900.0,2299900.0,https://www.falabella.com.co/falabella-co/product/73304155/Celular-motorola-edge-60-fusion-5G-256GB-8GB-RAM-/73304156
Celular Note 50s 5G | 256GB | 8GB RAM,899900.0,2199900.0,https://www.falabella.com.co/falabella-co/product/73300589/Celular-Infinix-Note-50s-5G-256GB-8GB-RAM/73300589
Celular G15 5G | 256GB | 4GB RAM,479900.0,999900.0,https://www.falabella.com.co/falabella-co/product/73193879/Celular-Motorola-G15-5G-256GB-4GB-RAM/73193880
Celular Galaxy S24 Ultra 512GB 12RAM 5G Negro Titanio,3849900.0,5949900.0,https://www.falabella.com.co/falabella-co/product/128302097/Celular-Samsung-Galaxy-S24-Ultra-512GB-12RAM-5G-Negro-Titanio/128302098
Celular Galaxy S25 5G | 512GB |12GB RAM | Incluye Gratis Galaxy A06,4099900.0,5549900.0,https://www.falabella.com.co/falabella-co/product/73293621/Celular-Samsung-Galaxy-S25-5G-512GB-12GB-RAM-Incluye-Gratis-Galaxy-A06/73293622
Celular Redmi 14C 256GB 4GB RAM Ampliable a 8GB Negro,439900.0,1000000.0,https://www.falabella.com.co/falabella-co/product/138508103/Celular-Xiaomi-Redmi-14C-256GB-4GB-RAM-Ampliable-a-8GB-Negro/138508104
Celular Galaxy A05 64GB - Negro,269900.0,399900.0,https://www.falabella.com.co/falabella-co/product/126595746/Celular-Samsung-Galaxy-A05-64GB-Negro/126595751
Celular G55 5G | 256GB |8GB RAM,699900.0,1399900.0,https://www.falabella.com.co/falabella-co/product/73193877/Celular-Motorola-G55-5G-256GB-8GB-RAM/73193878
"Celular Redmi 14C 256GB | 4GB RAM | Cámara posterior 50MP + QVGA | Cámara Frontal 13MP | Pantalla 6,8"" pulgadas + Procesador MediaTek Helio G81-Ultra",489900.0,999900.0,"https://www.falabella.com.co/falabella-co/product/73210821/Celular-Xiaomi-Redmi-14C-256GB-4GB-RAM-Camara-posterior-50MP-+-QVGA-Camara-Frontal-13MP-Pantalla-6,8-pulgadas-+-Procesador-MediaTek-Helio-G81-Ultra/73210823"
Celular Galaxy A05 64GB - Silver,269900.0,399900.0,https://www.falabella.com.co/falabella-co/product/126595823/Celular-Samsung-Galaxy-A05-64GB-Silver/126595824
Celular Galaxy S25 ULTRA 5G 512GB 12GB RAM Gris Titanio,4549900.0,8000000.0,https://www.falabella.com.co/falabella-co/product/140465677/Celular-Samsung-Galaxy-S25-ULTRA-5G-512GB-12GB-RAM-Gris-Titanio/140465678
Celular Galaxy A16 256GB 8GB RAM Negro,689900.0,1299900.0,https://www.falabella.com.co/falabella-co/product/141038246/Celular-Samsung-Galaxy-A16-256GB-8GB-RAM-Negro/141038247
Celular Galaxy A56 5G IA 256GB 12GB RAM Negro,1629900.0,2000000.0,https://www.falabella.com.co/falabella-co/product/142224190/Celular-Samsung-Galaxy-A56-5G-IA-256GB-12GB-RAM-Negro/142224191
Celular Redmi Note 14 PRO 5G 512GB 12GB RAM Negro,1389900.0,2000000.0,https://www.falabella.com.co/falabella-co/product/140121480/Celular-Xiaomi-Redmi-Note-14-PRO-5G-512GB-12GB-RAM-Negro/140121481
Celular Redmi Note 14 Pro 5G 256Gb / 8Ram / 200mp Negro,1099900.0,1699900.0,https://www.falabella.com.co/falabella-co/product/139969749/Celular-Xiaomi-Redmi-Note-14-Pro-5G-256Gb-8Ram-200mp-Negro/139969750
Celular moto g56 4G | 256GB | 8GB RAM,779900.0,1599900.0,https://www.falabella.com.co/falabella-co/product/73329917/Celular-moto-g56-4G-256GB-8GB-RAM/73329917
Celular Galaxy A06 128GB - Verde,359900.0,459900.0,https://www.falabella.com.co/falabella-co/product/140735651/Celular-Samsung-Galaxy-A06-128GB-Verde/140735652
Celular Galaxy M55 5G RAM 8GB 256GB Verde,869900.0,1697900.0,https://www.falabella.com.co/falabella-co/product/144834662/Celular-Samsung-Galaxy-M55-5G-RAM-8GB-256GB-Verde/144834663
Celular Redmi 14C 256GB 8GB Ram Azul,469900.0,799900.0,https://www.falabella.com.co/falabella-co/product/136739224/Celular-Xiaomi-Redmi-14C-256GB-8GB-Ram-Azul/136739225
Celular Redmi Note 14 PRO 5G 512GB 12GB RAM Púrpura,1389900.0,2000000.0,https://www.falabella.com.co/falabella-co/product/140121577/Celular-Xiaomi-Redmi-Note-14-PRO-5G-512GB-12GB-RAM-Purpura/140121578
Celular Magic 7 Lite 5G 256Gb 8Ram 108mpx Negro,1149900.0,1799900.0,https://www.falabella.com.co/falabella-co/product/142062126/Celular-Honor-Magic-7-Lite-5G-256Gb-8Ram-108mpx-Negro/142062127
Celular G15 4GB 256GB Gris,459900.0,593900.0,https://www.falabella.com.co/falabella-co/product/142210294/Celular-MOTOROLA-G15-4GB-256GB-Gris/142210301
Celular Galaxy A06 128GB - Verde,359900.0,459900.0,https://www.falabella.com.co/falabella-co/product/140735651/Celular-Samsung-Galaxy-A06-128GB-Verde/140735652?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522search%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc1NTM2ODQ2NTcyMA%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_VlEzjoGoJmJ4q_nHMy_dB2G0yfLp3loH8MVwkRCRII4EmeyQYh6B7ieG3uxFno8-g6TTJEWYyWtuCN6NbMV5BW8pY_O07eFl4gl7wAqDsyAAQu6gqRLuK6mReqeS5qBMN0fOXUsZSCMz1YC1c0a7pbPc5ueoc7qq-juQtES0r0Q%253D_ark198b41d111c5f12184%2522%252C%2522slot%2522%253A55%252C%2522signal%2522%253A%2522celulares%2522%252C%2522providerName%2522%253A%2522mabaya%2522%257D%257D
